VegID,EmissionType,CommonName,GenusGroup,Family,GrowthForm,Type,References,Comment,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6
Abelia,Nodata,,Abelia,Caprifoliaceae,Btr,genus,,,4,0.02,0.12,0.12,0.06,0.06,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies,AbiesFraseri,fir,Abies,Pinaceae,Ntr,genus,,,1.8,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies alba,AbiesAlba,silver fir,AbiesIso2,Pinaceae,Ntr,species,,,16,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies amabilis,AbiesGrandis,Pacific silver fir,Abies,Pinaceae,Ntr,species,,,0.05,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies balsamea,AbiesGrandis,balsam fir,Abies,Pinaceae,Ntr,species,,,0.05,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies borisii-regis,AbiesAlba,fir,AbiesIso,Pinaceae,Ntr,species,,,16,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies bornmulleriana,AbiesFraseri,Uludag fir,Abies,Pinaceae,Ntr,species,,,1.8,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies bracteata,AbiesGrandis,bristlecone fir,Abies,Pinaceae,Ntr,species,,,0.05,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies cephalonica,AbiesAlba,,AbiesIso,Pinaceae,Ntr,species,,,16,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies cilicica,AbiesAlba,,AbiesIso,Pinaceae,Ntr,species,,,16,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies concolor,AbiesGrandis,white fir,Abies,Pinaceae,Ntr,species,,,0.05,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
